Sampling time,Reactor Temperature,Jacket Temperature,Heater current,Coolant flowrate,,,,,,,,,,,,,
177,48.50579609,38.25747748,20,8,,,,,,,,,,,,,
177.5,49.03425798,38.33366865,20,8,,,,,,,,,,,,,
178,48.31928013,37.36858061,20,8,,,,,,,,,,,,,
178.5,48.25710814,38.81621266,20,8,,,,,,,,,,,,,
179,48.66122606,38.23208043,20,8,,,,,,,,,,,,,
179.5,49.25185993,37.52096293,20,8,,,,,,,,,,,,,
180,47.35561433,37.36858061,20,8,,,,,,,,,,,,,
180.5,48.38145212,38.00350695,20,8,,,,,,,,,,,,,
181,48.50579609,38.43525686,20,8,,,,,,,,,,,,,
181.5,48.75448404,38.05430106,20,8,,,,,,,,,,,,,
182,49.00317198,38.33366865,20,8,,,,,,,,,,,,,
182.5,48.75448404,38.20668338,20,8,,,,,,,,,,,,,
183,47.79081824,37.85112463,20,8,,,,,,,,,,,,,
183.5,48.941,37.72413936,20,8,,,,,,,,,,,,,
184,48.53688208,38.25747748,20,8,,,,,,,,,,,,,
184.5,48.81665602,38.30827159,20,8,,,,,,,,,,,,,
185,48.81665602,38.3590657,20,8,,,,,,,,,,,,,
185.5,48.909914,38.33366865,20,8,,,,,,,,,,,,,
186,48.75448404,38.07969811,20,8,,,,,,,,,,,,,
186.5,48.941,38.96859498,20,8,,,,,,,,,,,,,
187,48.81665602,38.20668338,20,8,,,,,,,,,,,,,
187.5,48.87882801,38.40985981,20,8,,,,,,,,,,,,,
188,49.25185993,38.33366865,20,8,,,,,,,,,,,,,
188.5,48.81665602,38.43525686,20,8,,,,,,,,,,,,,
189,47.72864625,37.34318356,20,8,,,,,,,,,,,,,
189.5,48.4747101,38.25747748,20,8,,,,,,,,,,,,,
190,48.87882801,38.25747748,20,8,,,,,,,,,,,,,
190.5,48.941,38.25747748,20,8,,,,,,,,,,,,,
191,49.09642997,39.37494784,20,8,,,,,,,,,,,,,
191.5,49.18968795,38.53684507,20,8,,,,,,,,,,,,,
192,48.78557003,38.40985981,20,8,,,,,,,,,,,,,
192.5,48.909914,38.40985981,20,8,,,,,,,,,,,,,
193,48.909914,37.54635999,20,8,,,,,,,,,,,,,
193.5,49.00317198,38.3590657,20,8,,,,,,,,,,,,,
194,48.941,38.43525686,20,8,,,,,,,,,,,,,
194.5,48.941,37.85112463,20,8,,,,,,,,,,,,,
195,49.00317198,37.54635999,20,8,,,,,,,,,,,,,
195.5,50.15335374,38.96859498,20,8,,,,,,,,,,,,,
196,48.22602215,39.04478614,20,8,,,,,,,,,,,,,
196.5,49.22077394,37.74953641,20,8,,,,,,,,,,,,,
197,48.909914,37.74953641,20,8,,,,,,,,,,,,,
197.5,49.34511791,38.46065391,20,8,,,,,,,,,,,,,
198,49.34511791,38.25747748,20,8,,,,,,,,,,,,,
198.5,49.09642997,38.46065391,20,8,,,,,,,,,,,,,
199,50.30878371,39.1209773,20,8,,,,,,,,,,,,,
199.5,49.78032182,38.33366865,16,12,,,,,,,,,,,,,
200,49.18968795,38.25747748,16,12,,,,,,,,,,,,,
200.5,49.09642997,38.33366865,16,12,,,,,,,,,,,,,
201,49.25185993,38.30827159,16,12,,,,,,,,,,,,,
201.5,49.25185993,38.43525686,16,12,,,,,,,,,,,,,
202,49.09642997,38.43525686,16,12,,,,,,,,,,,,,
202.5,49.59380586,39.17177141,16,12,,,,,,,,,,,,,
203,50.3398697,39.01938909,16,12,,,,,,,,,,,,,
203.5,49.25185993,38.43525686,16,12,,,,,,,,,,,,,
204,49.59380586,37.29238945,16,12,,,,,,,,,,,,,
204.5,48.81665602,38.40985981,16,12,,,,,,,,,,,,,
205,48.69231205,38.40985981,16,12,,,,,,,,,,,,,
205.5,50.43312769,39.01938909,16,12,,,,,,,,,,,,,
206,51.02376156,39.47653605,16,12,,,,,,,,,,,,,
206.5,49.62489185,38.43525686,16,12,,,,,,,,,,,,,
207,49.8735798,38.43525686,16,12,,,,,,,,,,,,,
207.5,49.09642997,38.46065391,16,12,,,,,,,,,,,,,
208,49.74923583,38.96859498,16,12,,,,,,,,,,,,,
208.5,49.43837589,38.40985981,16,12,,,,,,,,,,,,,
209,48.69231205,38.40985981,16,12,,,,,,,,,,,,,
209.5,48.38145212,37.85112463,16,12,,,,,,,,,,,,,
210,49.53163387,38.40985981,16,12,,,,,,,,,,,,,
210.5,49.84249381,38.56224213,16,12,,,,,,,,,,,,,
211,50.21552573,39.04478614,16,12,,,,,,,,,,,,,
211.5,49.62489185,38.56224213,16,12,,,,,,,,,,,,,
212,49.53163387,38.56224213,16,12,,,,,,,,,,,,,
212.5,48.909914,38.43525686,16,12,,,,,,,,,,,,,
